instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 29929 nodes,12512.0,11392.99999884458,6564.927,5947.073,0.4753095428388747,0,0,1,29929,60.031212,60.0023766,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 142973 nodes,28.0,0.9999999999990905,0.0,28.0,1.0,0,0,1,142973,60.036388,60.0077321,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 203867 nodes,5.0,1.0,0.0,5.0,1.0,0,0,1,203867,60.026540,60.0008933,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 162195 nodes,15.0,1.0,0.0,15.0,1.0,0,0,1,162195,60.027286,60.0012896,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.023086,0.004846,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.00s and 4559 nodes,13790610.0,11807698.0,10637080.0,3153530.0,0.2286722632283851,0,0,1,4559,60.020336,60.0015332,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.01s and 6151 nodes,122.00000000000003,119.0,105.00250000000003,16.997500000000002,0.13932377049180328,0,0,1,6151,60.025570,60.0065164,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 33842 nodes,14817.0,14393.0,11117.666666666668,3699.333333333332,0.24966817394434312,0,0,1,33842,60.021941,60.0009725,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0.030564,0.0036423,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 555.33s and 38929 nodes,15.999999999999993,15.0,13.875000000000004,2.1249999999999893,0.1328124999999994,0,0,1,38929,555.376999,555.3291399,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 86192 nodes,-39.0,-41.00000885,-43.0,4.0,0.10256410256410256,0,0,1,86192,60.445625,60.0015577,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 27644 nodes,-16.0,-16.00000000000012,-20.021390374331553,4.021390374331553,0.25133689839572204,1,0,1,27644,60.027720,60.0028755,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,feasible,"stopped on a relative gap target (4.167e-01 absolute, 5.472e-05 relative) after 1922 nodes",7615.0,7614.999999999997,7614.583333333333,0.41666666666696983,5.471656817688376e-05,1,0,1,1922,5.679429,5.6540215,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 69012 nodes,18.999999999999908,11.0,3.278824468394629,15.72117553160528,0.827430291137124,0,0,1,69012,60.020758,60.0004328,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.01s and 6587 nodes,3795.0,3663.999999980964,3327.1941441116724,467.80585588832764,0.12326900023407843,0,0,1,6587,60.027712,60.0074068,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 12145 nodes,3385.0,3252.0,2934.448787323787,450.5512126762128,0.1331022784863258,0,0,1,12145,60.024930,60.0004053,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.00s and 17256 nodes,14.999999999999996,14.99999999990919,13.244444444444436,1.75555555555556,0.11703703703703736,1,0,1,17256,60.027061,60.0041135,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,131,0.694847,0.6732614,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,258,0.640387,0.6187875,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,node_limit,stopped at the time limit after 60.00s and 10330 nodes,inf,764771.99999978,150855.99999990003,inf,inf,0,0,,10330,60.021352,60.0017777,410789c,Windows-AMD64,2026-08-30T12:22:14+00:00
