family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,28,73028,10,12,optimal,151.2808219178082,148.0,0.022167715660866196,,,1,4,0.0005498,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,30,71030,10,12,feasible,-263.50000000000006,-97.0,1.7164948453608253,,,1,5,0.0006297,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; route: the scaled attempt returned unbounded after 0.0 s of its 15 s ,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,30,72030,10,12,optimal,-169.16666666666663,-442.0,0.6172699849170439,,,0,3,0.0006728,[FAIL] complementary slackness     worst |multiplier| * slack = 1.667e+01 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
conditioning,entry spread 10^k,30,73030,10,12,optimal,-40.39600000000003,10.0,5.039600000000003,,,0,7,0.0005858,[FAIL] complementary slackness     worst |multiplier| * slack = 7.287e+01 on R1,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,71000,14,10,optimal,-223.99999999999994,-224.0,2.5376526277146434e-16,,,1,9,0.000555,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,72000,14,10,optimal,70.99999999999997,71.0,4.0030576662540856e-16,,,1,8,0.0007275,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,73000,14,10,optimal,-73.0,-73.0,0.0,,,1,12,0.0003952,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,71001,14,10,optimal,-101.00000000000001,-101.0,1.407015318336832e-16,,,1,11,0.0004658,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,72001,14,10,optimal,36.0,36.0,0.0,,,1,10,0.000913,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,73001,14,10,optimal,-286.0,-286.0,0.0,,,1,12,0.0004902,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,71002,14,10,optimal,-262.0000000000001,-262.0,4.3391922794509933e-16,,,1,13,0.0009971,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,72002,14,10,optimal,-143.0,-143.0,0.0,,,1,9,0.0043542,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,73002,14,10,optimal,385.00000000000006,385.0,1.4764524379430653e-16,,,1,10,0.0006368,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,71003,14,10,optimal,-211.00000000000003,-211.0,1.3470004469385787e-16,,,1,9,0.0006007,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,72003,14,10,optimal,-17.999999999999993,-18.0,3.9474596431116675e-16,,,1,8,0.0007131,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,73003,14,10,optimal,20.999999999999986,21.0,6.767073673905716e-16,,,1,10,0.00096,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,71004,14,10,optimal,90.99999999999997,91.0,3.123264772571869e-16,,,1,13,0.003828,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,72004,14,10,optimal,-53.999999999999986,-54.0,2.631639762074445e-16,,,1,9,0.0006686,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,73004,14,10,optimal,40.99999999999997,41.0,6.932124251318051e-16,,,1,13,0.0009811,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,71005,14,10,optimal,-110.00000000000001,-110.0,1.291895883200182e-16,,,1,11,0.0005786,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,72005,14,10,optimal,663.0,663.0,0.0,,,1,10,0.0005605,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,73005,14,10,optimal,168.00000000000003,168.0,1.691768418476429e-16,,,1,10,0.0004845,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,71006,14,10,optimal,148.00000000000006,148.0,3.8407715446491904e-16,,,1,9,0.0007148,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,72006,14,10,optimal,-310.0,-310.0,0.0,,,1,11,0.0005199,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,73006,14,10,optimal,153.00000000000003,153.0,1.8576280673466672e-16,,,1,12,0.0005751,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,71007,14,10,optimal,-78.99999999999997,-79.0,3.5976847380258237e-16,,,1,9,0.00066,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,72007,14,10,optimal,-495.0000000000001,-495.0,2.2967037923558794e-16,,,1,12,0.0004387,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,73007,14,10,optimal,4.999999976013514,5.0,4.797297137315582e-09,,,1,10,0.0004312,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,71008,14,10,optimal,-235.0,-235.0,0.0,,,1,11,0.0004574,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,72008,14,10,optimal,47.00000000000001,47.0,1.5117930548087238e-16,,,1,9,0.0004828,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,73008,14,10,optimal,86.9999999843055,87.0,1.8039650999055774e-10,,,1,8,0.0004714,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,71009,14,10,optimal,189.99999988011328,190.0,6.309827420792365e-10,,,1,9,0.0006298,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,72009,14,10,optimal,151.99999996188237,152.0,2.507739045660473e-10,,,1,12,0.0009712,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,73009,14,10,optimal,-248.99999999999994,-249.0,2.282868227341687e-16,,,1,10,0.0004526,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,71010,14,10,optimal,15.0,15.0,0.0,,,1,8,0.0004226,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,72010,14,10,optimal,-241.99999999999997,-242.0,1.1744508029092565e-16,,,1,11,0.0004596,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,73010,14,10,optimal,-9.0,-9.0,0.0,,,1,9,0.0004024,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,71011,14,10,optimal,4.8700599108997267e-11,0.0,4.8700599108997267e-11,,,1,8,0.0004039,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,72011,14,10,optimal,-125.99999999996922,-126.0,2.4429135962799634e-13,,,1,8,0.0003944,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,73011,14,10,optimal,429.00000000000097,429.0,2.2525364117336508e-15,,,1,13,0.0004742,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,12,71012,14,10,optimal,94.00000000000004,94.0,4.535379164426171e-16,,,1,13,0.0004208,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,12,72012,14,10,optimal,-106.99999999999999,-107.0,1.328117263102991e-16,,,1,6,0.000326,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,12,73012,14,10,optimal,167.00000000000603,167.0,3.60802538876985e-14,,,1,8,0.0003641,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,71013,14,10,optimal,262.00000000000006,262.0,2.1695961397254967e-16,,,1,8,0.0004179,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,72013,14,10,optimal,32.0,32.0,0.0,,,1,7,0.0003711,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,13,73013,14,10,optimal,-443.9999999999999,-444.0,2.56051436309946e-16,,,1,8,0.0005173,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,71014,14,10,optimal,3.9999999999999787,4.0,5.329070518200751e-15,,,1,10,0.0003958,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,72014,14,10,optimal,94.00000000000018,94.0,1.965330971251341e-15,,,1,9,0.0003934,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,14,73014,14,10,optimal,-31.99999999999997,-32.0,8.881784197001252e-16,,,1,11,0.0004254,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,71015,14,10,optimal,475.0,475.0,0.0,,,1,8,0.0004395,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,72015,14,10,optimal,88.0,88.0,0.0,,,1,11,0.0007579,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,15,73015,14,10,optimal,-291.0,-291.0,0.0,,,1,8,0.0005053,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,16,71016,14,10,optimal,95.00000000000003,95.0,2.991758887410948e-16,,,1,12,0.0005013,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,16,72016,14,10,optimal,63.00000000000003,63.0,4.511382449270477e-16,,,1,8,0.0004387,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
near_parallel,twin rows differing by a relative 10^-k,16,73016,14,10,optimal,-74.0,-74.0,0.0,,,1,14,0.0004957,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,0,71000,10,12,optimal,7.9999999999999964,8.0,4.440892098500626e-16,,,1,9,0.0004535,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,0,72000,10,12,optimal,325.0,325.0,0.0,,,1,16,0.000529,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,0,73000,10,12,optimal,-143.99999999999994,-144.0,3.9474596431116675e-16,,,1,15,0.0005032,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,1,71001,10,12,optimal,-2842.9999999999995,-2843.0,1.5995334185243198e-16,,,1,14,0.0007979,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,1,72001,10,12,optimal,-2536.0,-2536.0,0.0,,,1,16,0.0010934,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,1,73001,10,12,optimal,1770.0000000000005,1770.0,2.569194072804882e-16,,,1,13,0.0004855,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,2,71002,10,12,optimal,211.00000000000006,211.0,2.6940008938771573e-16,,,1,12,0.0004797,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,2,72002,10,12,optimal,-3719.999999999998,-3720.0,4.889756461144775e-16,,,1,16,0.0010903,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,2,73002,10,12,optimal,19310.0,19310.0,0.0,,,1,12,0.0005432,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,3,71003,10,12,optimal,81162.99999999996,81163.0,5.378774279548632e-16,,,1,11,0.0072847,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,3,72003,10,12,optimal,-7810.0,-7810.0,0.0,,,1,9,0.0008474,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,3,73003,10,12,optimal,-12800.0,-12800.0,0.0,,,1,12,0.0006811,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,4,71004,10,12,optimal,-1691065.0000000005,-1691065.0,2.753656939903193e-16,,,1,16,0.0006558,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,4,72004,10,12,optimal,-44020.00000000003,-44020.0,6.611501693942231e-16,,,1,9,0.0004379,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,4,73004,10,12,optimal,-1611900.0,-1611900.0,0.0,,,1,14,0.0004499,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,5,71005,10,12,optimal,-102032.0000000007,-102032.0,6.845812401615266e-15,,,1,12,0.0004253,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,5,72005,10,12,optimal,2932450.0,2932450.0,0.0,,,1,16,0.0006028,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,5,73005,10,12,optimal,4810207.000000002,4810207.0,3.8722764929470955e-16,,,1,22,0.0006128,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,6,71006,10,12,optimal,-21598959.999999996,-21598960.0,1.7247544782072442e-16,,,1,14,0.0005293,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,6,72006,10,12,optimal,-234777.0,-234777.0,0.0,,,1,18,0.00063,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,6,73006,10,12,optimal,31010149.99999997,31010150.0,9.610505717545807e-16,,,1,12,0.0014349,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
cost_ratio,costs spanning 10^k,7,71007,10,12,optimal,-870000006.0,-870000006.0,0.0,,,1,8,0.0005271,,53cbe16,Windows-AMD64,2026-09-09T03:34:02+00:00,
