instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
capri,2690.0129138,optimal,2690.0129137681615,1.1835884081310426e-11,0.052387,0.010481,0.668968,236,optimal,2690.0129137681593,1.18367293325517e-11,0.010698,0.006656,0.019226,15,1,4.897,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
d6cube,315.49166667,optimal,315.4916666666668,1.0565047344488266e-11,0.479424,0.422809,0.778577,1013,optimal,315.49166666666696,1.056450682226661e-11,0.137395,0.121712,0.158245,15,1,3.489,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
degen2,-1435.178,optimal,-1435.178,0.0,0.046932,0.042575,0.051283,639,optimal,-1435.178,0.0,0.01537,0.013806,0.019884,15,1,3.054,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
e226,-18.751929066,optimal,-11.63892906637053,0.3793209741032128,0.020171,0.018912,0.034408,507,optimal,-11.638929066370537,0.3793209741032124,0.007681,0.007271,0.011127,15,1,2.626,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
etamacro,-755.71521774,optimal,-755.7152331221231,2.035439114736623e-08,0.031906,0.029306,0.043355,705,optimal,-755.7152333005275,2.0590464776887975e-08,0.010168,0.009504,0.014803,15,1,3.138,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
finnis,172790.96547,optimal,172791.06559561164,5.794609189835839e-07,0.019874,0.016183,0.025588,403,optimal,172791.06559561164,5.794609189835839e-07,0.00735,0.006078,0.012611,15,1,2.704,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
fit1d,-9146.3780924,optimal,-9146.378092420928,2.2880612277754342e-12,0.012432,0.011777,0.016245,56,optimal,-9146.378092420928,2.2880612277754342e-12,0.013735,0.011081,0.020325,15,1,0.905,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
fit2d,-68464.293294,optimal,-68464.2932938321,2.4523731981559937e-12,0.287172,0.22231,0.508975,224,optimal,-68464.2932938321,2.4523731981559937e-12,0.192642,0.15976,0.454243,15,1,1.491,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
forplan,-664.21873953,optimal,-664.2189612722057,3.3383912929692586e-07,0.017485,0.014507,0.021549,309,optimal,-664.2189612722054,3.338391289546084e-07,0.007252,0.006668,0.010704,15,1,2.411,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
grow15,-106870941.29,optimal,-106870941.29357535,3.345474335878028e-11,0.289701,0.253098,0.331759,3630,optimal,-106870941.29357533,3.3454603927415554e-11,0.045331,0.039648,0.057418,15,1,6.391,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
grow22,-160834336.48,optimal,-160834336.48256296,1.5935464895819175e-11,0.362946,0.333545,0.402913,3853,optimal,-160834336.48256296,1.5935464895819175e-11,0.092101,0.083097,0.106123,15,1,3.941,53cbe16,Windows-AMD64,2026-09-09T03:48:32+00:00
