instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929066370558,-18.751929066,7.112999999629441,0.3793209741032113,0,1,,0,7.113,1,0.043683,0.0119727,588,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,optimal,,-755.7152331580163,-755.71521774,1.5418016346302466e-05,2.040188682770043e-08,1,0,REJECTED: 1 of 11 checks failed,0,0.0,0,0.037442,0.0172881,672,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,optimal,,555679.5648174962,555679.61165,0.046832503750920296,8.427968701579461e-08,1,1,,1,0.0,0,0.101494,0.0274241,670,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559561158,172790.96547,0.10012561158509925,5.794609186467163e-07,1,1,,1,0.0,0,0.041473,0.0177497,589,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.37809242094,-9146.3780924,2.09402060136199e-08,2.2894533554237983e-12,1,1,,1,0.0,0,0.067013,0.0418259,1622,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,,9146.378092420931,9146.3780924,2.093111106660217e-08,2.2884589785321096e-12,1,1,,1,0.0,0,0.395282,0.3546004,2092,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329383251,-68464.293294,1.6749254427850246e-07,2.4464218678085877e-12,1,1,,1,0.0,0,11.85079,11.7174281,30210,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,time_limit,time limit 60s reached,756176.9679370192,68464.293232,687712.6747050192,10.04483712954747,0,,,0,0.0,0,123.535105,120.0750632,10332,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,optimal,,-664.2189612722021,-664.21873953,0.0002217422021431048,3.338391239910051e-07,1,1,,1,0.0,0,0.060567,0.0304108,1179,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 7.144e-01 (7.144e-01 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-109585.7361292778,-109586.36356,0.6274307222047355,5.725445227144606e-06,0,1,,0,0.0,0,0.096013,0.069023,1337,simplex-primal,73e5afe,Windows-AMD64,2026-09-05T04:18:19+00:00
