instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 71102 nodes,42.000000000000185,1.0,0.0,42.000000000000185,1.0,0,0,1,71102,60.107317,60.0016715,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0.075372,0.0134816,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 60.00s and 13575 nodes,11928124.0,11807698.0,10617043.0,1311081.0,0.10991510483962105,0,0,1,13575,60.039920,60.0014061,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 36018 nodes,120.0,119.0,112.88625,7.113749999999996,0.059281249999999966,0,0,1,36018,60.058931,60.0037483,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.10s and 26451 nodes,15178.0,14393.0,11335.07142857143,3842.9285714285706,0.25319070835607926,0,0,1,26451,60.311469,60.107738,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,1.485255,1.2626922,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 8926 nodes,15.5,15.0,13.75,1.75,0.11290322580645161,0,0,1,8926,60.259876,60.0007263,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 48827 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,48827,60.055700,60.0023283,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 26786 nodes,-15.999999999999995,-16.00000000000012,-20.02139037433155,4.021390374331554,0.25133689839572226,1,0,1,26786,60.064566,60.0014415,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,feasible,"stopped on a relative gap target (9.095e-13 absolute, 1.194e-16 relative) after 860 nodes",7615.0,7614.999999999997,7614.999999999999,9.094947017729282e-13,1.194346292544883e-16,1,0,1,860,7.650844,7.6135713,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 38089 nodes,18.000000000000018,11.0,3.3200121396300473,14.67998786036997,0.8155548811316642,0,0,1,38089,60.055373,60.0004146,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.00s and 26170 nodes,3794.0,3663.999999980964,3434.3777349356296,359.62226506437037,0.09478710202012924,0,0,1,26170,60.059893,60.0012695,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 43557 nodes,3319.0,3252.0,3050.412698412699,268.5873015873012,0.08092416438303743,0,0,1,43557,60.067931,60.0029086,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.00s and 32709 nodes,14.999999999999998,14.99999999990919,13.274999999999999,1.7249999999999996,0.11499999999999999,1,0,1,32709,60.069869,60.0007524,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,89,1.487544,1.4501826,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,70,1.184649,1.1516562,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,stopped at the time limit after 60.00s and 48189 nodes,1176263.9999997101,764771.99999978,316320.0000001,859943.9999996101,0.7310807777844277,0,0,1,48189,60.060260,60.0013017,adcee1b,Windows-AMD64,2026-09-06T17:07:36+00:00,
