instance,instance_sha256,rows,columns,nonzeros,status,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,passed,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc
share1b,fafdf8b5e3d50d27f5eff40e46eb104d1e614bf2721cb5be38081f1678dbd562,117,225,1151,numerical_error,0.0,-76589.318579,76589.318579,1.0,0,,0,0.043757,0.0217645,56,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,optimal,-415.73224074141933,-415.73224074,1.4193233255355153e-09,3.4140323661430043e-12,1,1,1,0.076916,0.0552267,121,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
ship04l,e7c46bfd6492a400220cf1f5f093f264901fd0e8534dd8cbb060d491612dc881,402,2118,6332,optimal,1793324.5379703564,1793324.538,2.9643531888723373e-05,1.65299315659748e-11,1,1,1,1.643622,1.6029433,736,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
ship04s,2ed2828b251173a05004349121cd9a271a3434bf2efe4e1b70d7e0bdf2d76f94,402,1458,4352,optimal,1798714.7004453917,1798714.7004,4.539173096418381e-05,2.523564796245316e-11,1,1,1,1.008117,0.9723219,485,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
stair,30a16ec0d02cf6c490495340d2a718f533d8e5d88f839693eb4bc06671bd8649,356,467,3856,numerical_error,0.0,-251.26695119,251.26695119,1.0,0,,0,1.661631,1.6311806,472,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
standata,a513e8587cb8d72ac1f6fb07b33642a212f55646fb2c04521cdfd04b959c6fb1,359,1075,3031,optimal,1257.6995,1257.6995,0.0,0.0,1,1,1,0.14106,0.1102234,89,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
standmps,93bd6bc6251b7fee0f943e1c69a7b7e836b4b34e4c011c1a871be66a1cb7e00d,467,1075,3679,optimal,1406.0174999999997,1406.0175,2.2737367544323206e-13,1.617146838095771e-16,1,1,1,1.04116,1.0114811,416,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,optimal,-41131.9762194364,-41131.976219,4.364046617411077e-07,1.0609863708408942e-11,1,1,1,0.044241,0.0241921,79,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
tuff,768782d2ab2d7d044061f56ba54ddd53cf5ea0666a965edd33d48803098e15e2,333,587,4520,numerical_error,0.0,0.29214776509,0.29214776509,0.29214776509,0,,0,0.108873,0.0752283,55,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
wood1p,af3cac48f0727f1d9e1f1ecfa6de30168678800b39e38a808b5df90a48d61330,244,2594,70215,numerical_error,0.0,1.4429024116,1.4429024116,1.0,0,,0,0.448887,0.2622837,87,simplex-primal,37e08f9,Windows-AMD64,2026-08-26T03:47:27+00:00
