instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,,1977.6295618319712,1977.6292856,0.0002762319711564487,1.396783376782579e-07,1,1,,1,0.0,0,0.08176,0.0592363,46,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 5.0e-11 / 4.7e-04, gap 2.0e-04",12005317.914446864,1811.2365404,12003506.677906465,6627.244101013757,0,,,0,0.0,0,2.593178,2.5422542,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.820e-02 (1.820e-02 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-335.21356663537216,-335.21356751,8.746278581384104e-07,2.609166044904548e-09,0,1,,0,0.0,0,0.070889,0.0367625,25,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,,-315.018727738391,-315.01872802,2.816090045598685e-07,8.939436913159956e-10,1,1,,1,0.0,0,0.037441,0.0060647,14,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,,1373.080394278684,1373.0803942,7.868402462918311e-08,5.7304747021041625e-11,1,1,,1,0.0,0,0.054127,0.0273523,45,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 5.3e-07 / 5.2e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,1518.5098965,1518.5098965,1.0,0,,,0,0.0,0,0.03021,0.0084104,13,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,numerical_error,"the interior-point iteration stalled after 43 iterations (steps 5.3e-14 / 7.9e-13); the model may be infeasible or unbounded, which this method does not certify",-2479.7431892417003,2690.0129138,5169.7561030417,1.921833191402317,0,,,0,0.0,0,0.053975,0.0332543,43,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,-5.2263930249,nan,nan,0,,,0,0.0,0,1.719816,1.6755456,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.7e-04 / 1.5e-06, gap 2.9e+02",2253760.6168117938,2185196.6989,68563.91791179357,0.031376542874290335,0,,,0,0.0,0,0.31167,0.2825164,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,numerical_error,"the interior-point iteration stalled after 10 iterations (steps 1.7e-09 / 3.9e-09); the model may be infeasible or unbounded, which this method does not certify",4554.268068169712,122784.23615,118229.96808183029,0.962908365023292,0,,,0,0.0,0,0.293958,0.2403888,10,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,feasible,the interior-point iteration stalled after 29 iterations (steps 1.8e-181 / 2.6e-179); the best iterate is reported as a feasible point,315.491673778449,315.49166667,7.108449040060805e-06,2.2531336929086455e-08,0,1,,0,0.0,0,0.316147,0.2678816,29,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,,-1435.1779998502273,-1435.178,1.497728590038605e-07,1.0435838551305865e-10,1,1,,1,0.0,0,0.055201,0.0339008,17,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,-987.294,nan,nan,0,,,0,0.0,0,4.730648,4.6965845,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,time_limit,time limit 120s reached,nan,11266400.0,nan,nan,0,,,0,0.0,0,120.420427,120.3692778,159,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.63892906426405,-18.751929066,7.11300000173595,0.3793209742155469,0,1,,0,7.113,1,0.031616,0.0108722,19,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.896e-07 (1.896e-07 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-755.7152302963362,-755.71521774,1.2556336287161685e-05,1.6615169302415225e-08,0,1,,0,0.0,0,0.056676,0.0285724,25,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.0e-08 / 1.3e-08); the model may be infeasible or unbounded, which this method does not certify",0.0,555679.61165,555679.61165,1.0,0,,,0,0.0,0,0.045839,0.02241,5,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.0655956341,172790.96547,0.10012563411146402,5.794610490144397e-07,1,1,,1,0.0,0,0.045094,0.021899,40,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.378092408482,-9146.3780924,8.481947588734329e-09,9.273558891887745e-13,1,1,,1,0.0,0,0.041586,0.0159288,17,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,,9146.378092866922,9146.3780924,4.6692184696439654e-07,5.104991749164359e-11,1,1,,1,0.0,0,0.864589,0.8398512,17,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.29329192505,-68464.293294,2.0749575924128294e-06,3.0307149794163904e-11,1,1,,1,0.0,0,0.279392,0.1792883,31,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,time_limit,time limit 120s reached,68464.29375452663,68464.293232,0.0005225266359047964,7.63210443338907e-09,0,,,0,0.0,0,121.576618,121.5026783,24,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.0e+00 / 8.2e+00, gap 5.1e+07",-323.2388809940347,-664.21873953,340.9798585359653,0.5133547704137978,0,,,0,0.0,0,0.187888,0.1674241,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.6e-07 / 1.6e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,-109586.36356,109586.36356,1.0,0,,,0,0.0,0,0.047013,0.0234101,5,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,optimal,,6902235.99956761,6902235.9995,6.761029362678528e-05,9.795418996348863e-12,1,1,,1,0.0,0,0.026786,0.0065649,21,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,-72462405.908,nan,nan,0,,,0,0.0,0,2.495925,2.4519382,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
greenbeb,21f92f6a32f71ec72c8f693d6685e4a91ecb2debec732ec61302bc866f370865,2392,5405,30877,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 0.0e+00 / 0.0e+00, gap -nan",nan,-4302147.6065,nan,nan,0,,,0,0.0,0,2.256727,2.2111745,300,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
grow15,ab84e2f83d00c5bd26291e0505f23804b050bc96dc1e576d9da8f04e1f6ed51f,300,645,5620,optimal,,-106870941.29357533,-106870941.29,0.0035753250122070312,3.3454603927415554e-11,1,1,,1,0.0,0,0.033887,0.0101944,16,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
grow22,671111a1623539730f4caa9366c7eda43fb472137773cd9444dc96ed87f9810e,440,946,8252,optimal,,-160834336.48256293,-160834336.48,0.0025629401206970215,1.5935279597561104e-11,1,1,,1,0.0,0,0.042094,0.0154351,17,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
grow7,6b8734ffdf991a36f17cfddf306834a4a3ced3e17964cac9fa2983a043906cd4,140,301,2612,optimal,,-47787811.81471151,-47787811.815,0.0002884864807128906,6.03682130978716e-12,1,1,,1,0.0,0,0.023792,0.0047423,16,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,optimal,,-896644.8218630429,-896644.82186,3.042863681912422e-06,3.3936109457480673e-12,1,1,,1,0.0,0,0.055334,0.0370076,24,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
kb2,f0eb647d1d9aac84f49d88662b6b02c6cecc04496e5435be733eced36d7f48f2,43,41,286,optimal,,-1749.9001298946616,-1749.9001299,5.338279152056202e-09,3.050619324407539e-12,1,1,,1,0.0,0,0.019563,0.0015777,18,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
lotfi,fcb90a1b5e02b2eae67adacd0937a073d420ca92ac6af514ee13a348d7f31623,153,308,1078,numerical_error,"the interior-point iteration stalled after 11 iterations (steps 8.3e-08 / 1.7e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,-25.264706062,25.264706062,1.0,0,,,0,0.0,0,0.020654,0.003452,11,ipm,59ac6e3,Windows-AMD64,2026-09-06T12:48:56+00:00,algorithm=ipm
