instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
bnl1,7a842adca058eaa3cb712b3bbae357602f22df6cc318c4d278f6600167fe2300,643,1175,5121,optimal,"crossover push: 306 superbasic, 141 pivots in the push; crossover: 173 pivots from the interior point's basis guess in 0.00s, after 46 interior point iterations",1977.6295615228878,1977.6292856,0.00027592288779487717,1.3952204783980226e-07,1,1,,1,0.0,0,0.081562,0.0616804,219,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
bnl2,eafd7e49005db1a020d420b3fbed2e124bebf46740c0b2550edcbaa17b07ad6b,2324,3489,13999,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 5.0e-11 / 2.7e-04, gap 8.0e-08",8117395.317984104,1811.2365404,8115584.081443704,4480.687033650187,0,,,0,0.0,0,2.252852,2.2178978,300,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
boeing1,1d9d58afaf41bad6866d5355330b261d3776ca86753d121eb9b688ee6128ab9e,351,384,3485,optimal,"crossover push: 101 superbasic, 29 pivots in the push; crossover: 44 pivots from the interior point's basis guess in 0.00s, after 25 interior point iterations",-335.21356750712687,-335.21356751,2.873150606319541e-09,8.571104766616673e-12,1,1,,1,0.0,0,0.038744,0.0214069,69,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
boeing2,e12e729b8c09bf6e6934af40b728e460d4eb360c42419b791b68fb2271ddd61a,166,143,1196,optimal,"crossover push: 23 superbasic, 18 pivots in the push; crossover: 48 pivots from the interior point's basis guess in 0.00s, after 15 interior point iterations",-315.01872801520284,-315.01872802,4.797186647920171e-09,1.5228258580282265e-11,1,1,,1,0.0,0,0.021015,0.0046841,63,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
bore3d,c7cfe0d4abd466346e3cda4e16d00651f44f3ce1da317cf583c5fed5dfc0515a,233,315,1429,optimal,"crossover push: 35 superbasic, 31 pivots in the push; crossover: 53 pivots from the interior point's basis guess in 0.00s, after 45 interior point iterations",1373.0803942084926,1373.0803942,8.49263415148016e-09,6.185096071106774e-12,1,1,,1,0.0,0,0.033563,0.0179421,98,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
brandy,56fa020b84a0a106b7883b7da006c2852449598898c41ec8dd2575151d0e0917,220,249,2148,numerical_error,"the interior-point iteration stalled after 13 iterations (steps 5.3e-07 / 5.2e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,1518.5098965,1518.5098965,1.0,0,,,0,0.0,0,0.030337,0.0072589,13,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
capri,4932bc8861fcdaf19256827b7ee229941fa6f2e84f2044b65300326c226fba78,271,353,1767,numerical_error,"the interior-point iteration stalled after 41 iterations (steps 2.6e-09 / 1.2e-09); the model may be infeasible or unbounded, which this method does not certify",-2479.7431892417003,2690.0129138,5169.7561030417,1.921833191402317,0,,,0,0.0,0,0.043687,0.0266664,41,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
cycle,bfc8edde30952b8dfa354679ea3a3231c2e7eb762c0ff8f0f845505741816d53,1903,2857,20720,feasible,"the iterate stopped being finite at iteration 35; the best earlier iterate is reported as a feasible point (relative gap 2.7e-07, infeasibility 5.2e-15 / 2.1e-07)",-5.226262948406589,-5.2263930249,0.00013007649341112426,2.488838722832428e-05,0,1,,0,0.0,0,0.256745,0.2114697,35,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
czprob,b1f30bd25705fcc3c4f195d7e627e437788035f81fae9198e3096471b947f704,929,3523,10669,numerical_error,"the interior-point iteration stalled after 222 iterations (steps 2.6e-07 / 3.7e-07); the model may be infeasible or unbounded, which this method does not certify",1218463.3587599995,2185196.6989,966733.3401400007,0.4424010619394775,0,,,0,0.0,0,0.239206,0.2112808,222,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,numerical_error,"the interior-point iteration stalled after 10 iterations (steps 1.7e-09 / 3.9e-09); the model may be infeasible or unbounded, which this method does not certify",4554.268068169712,122784.23615,118229.96808183029,0.962908365023292,0,,,0,0.0,0,0.255193,0.2098477,10,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
d6cube,8cd94ee7783bcbce884acde1f4769f5c79739c9460fe73cb948924e724b02dfa,415,6184,37704,feasible,"the iterate stopped being finite at iteration 24; the best earlier iterate is reported as a feasible point (relative gap 2.2e-08, infeasibility 1.7e-13 / 7.5e-12)",315.4916735329643,315.49166667,6.862964312404074e-06,2.175323483134229e-08,0,1,,0,0.0,0,0.218307,0.1798458,24,ipm,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
degen2,755cf6ca5f3a8ed1b8b68372e8d2d3b5efee784ee69b1dada923c6ff04ee0edb,444,534,3978,optimal,"crossover push: 79 superbasic, 79 pivots in the push; crossover: 830 pivots from the interior point's basis guess in 0.04s, after 17 interior point iterations",-1435.178,-1435.178,0.0,0.0,1,1,,1,0.0,0,0.089923,0.0723189,847,ipm+crossover,64d2e9a,Windows-AMD64,2026-09-18T13:05:02+00:00,algorithm=ipm
