instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
scagr7,-2331389.2548,optimal,-2331389.824330984,2.442882426212426e-07,0.002764,0.00253,0.025695,111,optimal,-2331389.824330984,2.442882426212426e-07,0.002361,0.002216,0.002679,15,1,1.171,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.022346,0.020692,0.028148,460,optimal,18416.759028348948,1.8947288754123286e-11,0.011015,0.009707,0.015114,15,1,2.029,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scorpion,1878.1248227,optimal,1878.1248227381068,2.0289754267304842e-11,0.009688,0.008977,0.014142,242,optimal,1878.1248227381068,2.0289754267304842e-11,0.003425,0.003309,0.004342,15,1,2.829,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scrs8,904.29998619,optimal,904.2969538007919,3.3533000712269414e-06,0.040974,0.037799,0.044337,610,optimal,904.296953800792,3.3533000711012235e-06,0.01126,0.010565,0.015089,15,1,3.639,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.008636,0.008131,0.01262,155,optimal,8.666666674333364,3.8496385532573e-12,0.002995,0.00283,0.004208,15,1,2.883,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scsd6,50.500000078,optimal,50.50000007714434,1.6943700541837166e-11,0.024323,0.023364,0.035453,367,optimal,50.5000000782623,5.194137741149621e-12,0.00978,0.008867,0.013024,15,1,2.487,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
scsd8,904.99999993,optimal,904.9999999254641,5.012019283721412e-12,0.204444,0.192851,0.245883,1785,optimal,904.9999999254643,5.011768042091069e-12,0.048709,0.045172,0.057745,15,1,4.197,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.010671,0.009978,0.015694,269,optimal,1412.25,0.0,0.008277,0.006854,0.010742,15,1,1.289,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.004716,0.00425,0.006286,136,optimal,-76589.31857918572,2.42496078442158e-12,0.003612,0.0035,0.004586,15,1,1.306,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
share2b,-415.73224074,optimal,-415.7322407414191,3.4134854427794508e-12,0.003895,0.003613,0.005306,133,optimal,-415.73224074141945,3.4143058278247812e-12,0.002269,0.002136,0.003391,15,1,1.717,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
ship04l,1793324.538,optimal,1793324.5379703562,1.6530061397825488e-11,0.03368,0.028497,0.044326,449,optimal,1793324.5379703562,1.6530061397825488e-11,0.01027,0.009334,0.014549,15,1,3.28,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.015792,0.014921,0.023885,300,optimal,1798714.7004453917,2.523564796245316e-11,0.007404,0.006822,0.011017,15,1,2.133,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
stair,-251.26695119,optimal,-251.2669511929633,1.17934501716146e-11,0.038081,0.035307,0.041599,448,optimal,-251.26695119296335,1.1793676398814761e-11,0.016419,0.015815,0.018637,15,1,2.319,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
standata,1257.6995,optimal,1257.6995000000002,1.8078537476021266e-16,0.00519,0.004789,0.007684,58,optimal,1257.6995,0.0,0.006491,0.0052,0.009561,15,1,0.8,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
standmps,1406.0175,optimal,1406.0175000000002,1.617146838095771e-16,0.012824,0.011902,0.018355,200,optimal,1406.0175,0.0,0.006906,0.006398,0.009282,15,1,1.857,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.002863,0.002714,0.004169,101,optimal,-41131.97621943641,1.061004060138329e-11,0.001735,0.001684,0.002161,15,1,1.651,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
tuff,0.29214776509,optimal,0.2921477650936128,3.612776744432722e-12,0.014898,0.013725,0.020303,239,optimal,0.292147765093613,3.612998789037647e-12,0.009394,0.009099,0.01009,15,1,1.586,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
wood1p,1.4429024116,optimal,1.4429024115734101,1.8428024810276435e-11,0.143518,0.129263,0.162279,406,optimal,1.442902411573409,1.8428794247638033e-11,0.080948,0.075693,0.104814,15,1,1.773,f7ca7e9,Windows-AMD64,2026-09-13T10:46:21+00:00
