instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 38695 nodes,-39.0,-41.00000885,-43.00000000000001,4.000000000000007,0.10256410256410274,0,0,1,38695,60.046979,60.0006589,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.01s and 10943 nodes,-16.0,-16.00000000000012,-20.021390374331553,4.021390374331553,0.25133689839572204,1,0,1,10943,60.061565,60.0064176,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,feasible,"stopped on a relative gap target (6.667e-01 absolute, 8.755e-05 relative) after 2125 nodes",7615.0,7614.999999999997,7614.33333333333,0.6666666666696983,8.754650908334844e-05,1,0,1,2125,17.057682,17.0147152,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 26273 nodes,18.999999999999908,11.0,1.623343664344516,17.37665633565539,0.9145608597713408,0,0,1,26273,60.040282,60.0007675,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.01s and 2539 nodes,3795.0,3663.999999980964,3294.241591721008,500.7584082789922,0.13195214974413497,0,0,1,2539,60.047006,60.007055,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 4935 nodes,3428.0,3252.0,2896.508318070818,531.491681929182,0.15504424793733432,0,0,1,4935,60.055036,60.0011117,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.00s and 8150 nodes,14.999999999999996,14.99999999990919,13.244444444444436,1.75555555555556,0.11703703703703736,1,0,1,8150,60.051780,60.0040875,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,141,1.136585,1.087507,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,257,1.269844,1.2268246,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,node_limit,stopped at the time limit after 60.01s and 4622 nodes,inf,764771.99999978,117082.9999999,inf,inf,0,0,,4622,60.064611,60.0138523,d44e09e,Windows-AMD64,2026-08-26T23:07:56+00:00
