family,parameter,value,seed,rows,columns,status,objective,expected_objective,relative_error,primal_infeasibility,dual_infeasibility,verified,iterations,solver_seconds,message,git_commit,machine,timestamp_utc,solver_options
conditioning,entry spread 10^k,26,72026,10,12,optimal,-140.0,-151.0,0.0728476821192053,,,0,4,0.0003332,[FAIL] strong duality              primal -1.400000000000e+02  dual -5.312500000000e+01  gap 8.688e+01 (relative 6.205e-01),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,26,73026,10,12,feasible,89.64285714285714,-33.0,3.7164502164502164,,,1,3,0.0004362,"engine reported optimal but the reduced costs violate dual feasibility by 2.368e+14 (9.485e-01 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point ra",d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,28,71028,10,12,optimal,859.8,-115.0,8.476521739130435,,,0,4,0.0011395,[FAIL] strong duality              primal 8.598000000000e+02  dual 0.000000000000e+00  gap 8.598e+02 (relative 1.000e+00),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,28,72028,10,12,feasible,43.0926829268293,202.0,0.786669886500845,,,1,5,0.0004804,"engine reported optimal but the reduced costs violate dual feasibility by 8.390e+13 (1.000e+00 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point ra",d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,28,73028,10,12,optimal,151.2808219178082,148.0,0.022167715660866196,,,0,4,0.0004002,[FAIL] strong duality              primal 1.512808219178e+02  dual -inf  gap inf (relative inf),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,30,71030,10,12,feasible,-263.50000000000006,-97.0,1.7164948453608253,,,1,5,0.000493,the scaled attempt claimed unbounded but the other attempt did not; the claim is withheld and the non-claiming result is reported; engine reported optimal but the reduced costs violate dual feasibilit,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,30,72030,10,12,optimal,-169.16666666666663,-442.0,0.6172699849170439,,,0,3,0.000491,[FAIL] complementary slackness     worst |multiplier| * slack = 1.667e+01 on R1; [FAIL] strong duality              primal -1.691666666667e+02  dual -inf  gap inf (relative inf),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
conditioning,entry spread 10^k,30,73030,10,12,optimal,-40.396000000000036,10.0,5.039600000000004,,,0,7,0.0002468,[FAIL] complementary slackness     worst |multiplier| * slack = 7.287e+01 on R1; [FAIL] strong duality              primal -4.039600000000e+01  dual -inf  gap inf (relative inf),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,71000,14,10,optimal,-223.99999999999994,-224.0,2.5376526277146434e-16,,,1,9,0.0002804,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,72000,14,10,optimal,71.00000000000001,71.0,2.0015288331270428e-16,,,1,8,0.0003748,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,0,73000,14,10,optimal,-73.0,-73.0,0.0,,,1,12,0.0003094,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,71001,14,10,optimal,-101.0,-101.0,0.0,,,1,11,0.0003204,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,72001,14,10,optimal,36.0,36.0,0.0,,,1,10,0.0002896,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,1,73001,14,10,optimal,-286.00000000000006,-286.0,1.9875321280002802e-16,,,1,12,0.0004426,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,71002,14,10,optimal,-262.00000000000006,-262.0,2.1695961397254967e-16,,,1,13,0.0003212,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,72002,14,10,optimal,-143.0,-143.0,0.0,,,1,9,0.0003141,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,2,73002,14,10,optimal,384.99999999999994,385.0,1.4764524379430653e-16,,,1,10,0.0007239,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,71003,14,10,optimal,-211.00000000000006,-211.0,2.6940008938771573e-16,,,1,9,0.000321,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,72003,14,10,optimal,-17.999999999999986,-18.0,7.894919286223335e-16,,,1,8,0.0007224,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,3,73003,14,10,optimal,21.000000000000064,21.0,3.045183153257572e-15,,,1,10,0.0008624,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,71004,14,10,optimal,90.99999999999997,91.0,3.123264772571869e-16,,,1,13,0.0003069,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,72004,14,10,optimal,-53.99999999999999,-54.0,1.3158198810372225e-16,,,1,9,0.0004594,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,4,73004,14,10,optimal,41.00000000000003,41.0,6.932124251318051e-16,,,1,14,0.0003159,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,71005,14,10,optimal,-110.00000000000001,-110.0,1.291895883200182e-16,,,1,11,0.0002848,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,72005,14,10,optimal,663.0000000000001,663.0,1.7147336006276928e-16,,,1,10,0.000491,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,5,73005,14,10,optimal,168.0,168.0,0.0,,,1,10,0.0003456,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,71006,14,10,optimal,148.0000000000001,148.0,7.681543089298381e-16,,,1,9,0.0003089,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,72006,14,10,optimal,-310.0000000000001,-310.0,3.6673173458585816e-16,,,1,11,0.0003652,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,6,73006,14,10,optimal,153.00000000000009,153.0,5.572884202040001e-16,,,1,12,0.0003467,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,71007,14,10,optimal,-78.99999999999999,-79.0,1.7988423690129118e-16,,,1,9,0.0003339,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,72007,14,10,optimal,-494.9999999999996,-495.0,8.038463273245578e-16,,,1,12,0.0003304,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,7,73007,14,10,optimal,4.99999997601347,5.0,4.797306019099779e-09,,,0,10,0.0002917,[FAIL] strong duality              primal 4.999999976013e+00  dual 4.999999793581e+00  gap 1.824e-07 (relative 3.649e-08),d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,71008,14,10,optimal,-235.0,-235.0,0.0,,,1,11,0.0004214,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,72008,14,10,optimal,46.99999999999991,47.0,1.965330971251341e-15,,,1,9,0.0003432,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,8,73008,14,10,optimal,86.99999998430542,87.0,1.803974900495036e-10,,,1,8,0.0010188,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,71009,14,10,optimal,189.99999988011342,190.0,6.309819941395146e-10,,,1,9,0.0007611,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,72009,14,10,optimal,151.99999996188237,152.0,2.507739045660473e-10,,,1,12,0.0003269,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,9,73009,14,10,optimal,-248.99999999999991,-249.0,3.424302341012531e-16,,,1,10,0.0005113,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,71010,14,10,optimal,15.0,15.0,0.0,,,1,8,0.0004962,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,72010,14,10,optimal,-242.0,-242.0,0.0,,,1,11,0.0005892,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,10,73010,14,10,optimal,-8.999999999999744,-9.0,2.842170943040401e-14,,,1,9,0.000707,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,71011,14,10,optimal,4.874323167314287e-11,0.0,4.874323167314287e-11,,,1,8,0.0003049,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,72011,14,10,optimal,-125.9999999999692,-126.0,2.4440414418922813e-13,,,1,8,0.0003193,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,11,73011,14,10,optimal,429.00000000000097,429.0,2.2525364117336508e-15,,,1,13,0.0006563,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,12,71012,14,10,optimal,94.00000000000003,94.0,3.0235861096174475e-16,,,1,13,0.0003064,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
near_parallel,twin rows differing by a relative 10^-k,12,72012,14,10,optimal,-106.99999999999997,-107.0,2.656234526205982e-16,,,1,6,0.0003855,,d9a09c7,Windows-AMD64,2026-09-06T09:53:54+00:00,
