case,instance,sha256,arm,rep,status,objective,iterations,nodes,solve_seconds,commit,machine
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,4,iteration_limit,5501.994082211863,20000,0,0.9239589,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,main,5,iteration_limit,5501.994082211863,20000,0,1.0478989,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,off,5,iteration_limit,5501.994082211863,20000,0,0.9311444,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,basic,5,iteration_limit,5501.994082211863,20000,0,0.9316903,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"PDHG, 20k iterations",25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,detailed,5,iteration_limit,5501.994082211863,20000,0,0.9287967,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,main,1,optimal,7615.0,0,612,2.7139554,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,off,1,optimal,7615.0,0,612,2.9951399,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,basic,1,optimal,7615.0,0,612,2.9575978,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,detailed,1,optimal,7615.0,0,612,3.9385153,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
MILP p0201,p0201.mps.gz,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,main,2,optimal,7615.0,0,612,2.759013,3630cba,"Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
