instance,published_objective,sankhya_status,sankhya_objective,sankhya_relative_error,sankhya_seconds,sankhya_seconds_min,sankhya_seconds_max,sankhya_iterations,highs_status,highs_objective,highs_relative_error,highs_seconds,highs_seconds_min,highs_seconds_max,timing_repeats,objectives_agree,speed_ratio_sankhya_over_highs,git_commit,machine,timestamp_utc
sc50b,-70.0,optimal,-69.99999999999999,2.0301221021717148e-16,0.0012,0.001102,0.001626,42,optimal,-69.99999999999999,2.0301221021717148e-16,0.000786,0.000729,0.000935,15,1,1.527,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scagr25,-14753433.061,optimal,-14753433.060768533,1.5689039049257294e-11,0.024312,0.018126,0.030256,465,optimal,-14753433.060768528,1.5689417804183323e-11,0.009974,0.009336,0.013046,15,1,2.437,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scagr7,-2331389.2548,optimal,-2331389.824330984,2.442882426212426e-07,0.003214,0.003015,0.005489,111,optimal,-2331389.824330984,2.442882426212426e-07,0.003474,0.002719,0.00415,15,1,0.925,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scfxm1,18416.759028,optimal,18416.759028348937,1.89466961451629e-11,0.027897,0.024264,0.036997,460,optimal,18416.759028348948,1.8947288754123286e-11,0.013441,0.011972,0.018359,15,1,2.076,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scorpion,1878.1248227,optimal,1878.1248227381068,2.0289754267304842e-11,0.011616,0.010533,0.014431,242,optimal,1878.1248227381068,2.0289754267304842e-11,0.003976,0.00378,0.005293,15,1,2.922,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scrs8,904.29998619,optimal,904.2969538007919,3.3533000712269414e-06,0.050348,0.044476,0.065843,610,optimal,904.296953800792,3.3533000711012235e-06,0.014669,0.011478,0.020479,15,1,3.432,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scsd1,8.6666666743,optimal,8.666666674333364,3.8496385532573e-12,0.011129,0.009897,0.014172,155,optimal,8.666666674333364,3.8496385532573e-12,0.003387,0.003203,0.00527,15,1,3.285,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scsd6,50.500000078,optimal,50.50000007714434,1.6943700541837166e-11,0.031449,0.027935,0.040779,367,optimal,50.5000000782623,5.194137741149621e-12,0.011051,0.009934,0.013633,15,1,2.846,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
scsd8,904.99999993,optimal,904.9999999254641,5.012019283721412e-12,0.253398,0.225803,0.29505,1785,optimal,904.9999999254643,5.011768042091069e-12,0.05915,0.053024,0.069636,15,1,4.284,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
sctap1,1412.25,optimal,1412.25,0.0,0.013195,0.012337,0.01893,269,optimal,1412.25,0.0,0.00969,0.008364,0.012324,15,1,1.362,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
share1b,-76589.318579,optimal,-76589.31857918552,2.4223007945303396e-12,0.0058,0.005075,0.008236,136,optimal,-76589.31857918572,2.42496078442158e-12,0.004136,0.003827,0.004576,15,1,1.402,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
share2b,-415.73224074,optimal,-415.7322407414191,3.4134854427794508e-12,0.00509,0.004346,0.007528,133,optimal,-415.73224074141945,3.4143058278247812e-12,0.00297,0.002649,0.003687,15,1,1.714,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
ship04l,1793324.538,optimal,1793324.5379703562,1.6530061397825488e-11,0.039886,0.034871,0.049375,449,optimal,1793324.5379703562,1.6530061397825488e-11,0.012899,0.010673,0.01639,15,1,3.092,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
ship04s,1798714.7004,optimal,1798714.7004453922,2.5235906848026957e-11,0.022132,0.018481,0.026561,300,optimal,1798714.7004453917,2.523564796245316e-11,0.009039,0.00765,0.012207,15,1,2.448,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
stair,-251.26695119,optimal,-251.2669511929633,1.17934501716146e-11,0.046857,0.040898,0.054043,448,optimal,-251.26695119296335,1.1793676398814761e-11,0.020907,0.01885,0.026439,15,1,2.241,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
standata,1257.6995,optimal,1257.6995000000002,1.8078537476021266e-16,0.006228,0.005365,0.009546,58,optimal,1257.6995,0.0,0.006481,0.006013,0.009191,15,1,0.961,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
standmps,1406.0175,optimal,1406.0175000000002,1.617146838095771e-16,0.015798,0.014004,0.019139,200,optimal,1406.0175,0.0,0.009004,0.007329,0.012154,15,1,1.755,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
stocfor1,-41131.976219,optimal,-41131.97621943643,1.0610571280306333e-11,0.003298,0.003108,0.004934,101,optimal,-41131.97621943641,1.061004060138329e-11,0.001918,0.001841,0.002456,15,1,1.719,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
tuff,0.29214776509,optimal,0.2921477650936128,3.612776744432722e-12,0.016489,0.015643,0.022798,239,optimal,0.292147765093613,3.612998789037647e-12,0.010427,0.009805,0.01277,15,1,1.581,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
wood1p,1.4429024116,optimal,1.4429024115734101,1.8428024810276435e-11,0.16043,0.145567,0.19669,406,optimal,1.442902411573409,1.8428794247638033e-11,0.099748,0.090008,0.112689,15,1,1.608,f7ca7e9,Windows-AMD64,2026-09-13T11:50:35+00:00
