instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc,solver_options
adlittle,pdhg,1e-08,0,optimal,225494.96316795328,225494.96316,3.5270242160261884e-11,207040,1.481554,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.029318,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
afiro,pdhg,1e-08,0,optimal,-464.753142815767,-464.75314286,9.517535949267474e-11,2800,0.042777,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
blend,pdhg,1e-08,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.306683,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
blend,pdhg,1e-08,0,optimal,-30.81214976417843,-30.812149846,2.6554970084573523e-09,76400,0.58794,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
israel,pdhg,1e-08,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,4.534948,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
israel,pdhg,1e-08,0,optimal,-896644.8218630459,-896644.82186,3.396986639549791e-12,1000005,14.786596,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc105,pdhg,1e-08,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.425123,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc105,pdhg,1e-08,0,optimal,-52.202061211188884,-52.202061212,1.5537948804081504e-11,291200,2.169414,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50a,pdhg,1e-08,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.059659,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50a,pdhg,1e-08,0,optimal,-64.57507705557386,-64.575077059,5.3056655166231615e-11,28280,0.159273,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50b,pdhg,1e-08,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.075879,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
sc50b,pdhg,1e-08,0,optimal,-69.9999999729918,-70.0,3.8583140492067157e-10,33200,0.27024,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
share2b,pdhg,1e-08,1,optimal,-415.7322407240411,-415.73224074,3.83874570411062e-11,1000009,7.247975,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
share2b,pdhg,1e-08,0,optimal,-415.7322407246305,-415.73224074,3.696969495193416e-11,1000009,8.628441,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
stocfor1,pdhg,1e-08,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,2.367429,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
stocfor1,pdhg,1e-08,0,optimal,-41131.97617670559,-41131.976219,1.0282609936935699e-09,496320,3.488474,1,79ec7f7,Windows-AMD64,2026-09-12T17:14:22+00:00,
