instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
sc105,simplex,,,optimal,-52.20206121170722,-52.202061212,5.608574210909634e-12,89,0.044946,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc105,pdhg,0.0001,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.691184,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc105,pdhg,1e-08,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.653142,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50a,simplex,,,optimal,-64.57507705856447,-64.575077059,6.744398679677553e-12,40,0.039134,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50a,pdhg,0.0001,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.063874,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50a,pdhg,1e-08,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.063739,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50b,simplex,,,optimal,-69.99999999999999,-70.0,2.0301221021717148e-16,45,0.024794,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50b,pdhg,0.0001,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.063561,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50b,pdhg,1e-08,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.07319,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
share2b,simplex,,,optimal,-415.73224074141916,-415.73224074,3.413622173620339e-12,111,0.024321,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
share2b,pdhg,0.0001,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,11.791292,0,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,7.248115,0,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
stocfor1,simplex,,,optimal,-41131.97621943643,-41131.976219,1.0610571280306333e-11,64,0.31438,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
stocfor1,pdhg,0.0001,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,2.25236,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
stocfor1,pdhg,1e-08,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,1.946382,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
adlittle,pdhg,1e-08,1,optimal,225494.96316224762,225494.96316,9.967413387798766e-12,192080,1.012767,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
adlittle,pdhg,1e-08,0,optimal,225494.96316795328,225494.96316,3.5270242160261884e-11,207040,2.393765,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
afiro,pdhg,1e-08,1,optimal,-464.75314284620515,-464.75314286,2.968215446825738e-11,1040,0.035479,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
afiro,pdhg,1e-08,0,optimal,-464.753142815767,-464.75314286,9.517535949267474e-11,2800,0.052865,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
blend,pdhg,1e-08,1,optimal,-30.812149875732423,-30.812149846,9.64957748637093e-10,44520,0.32966,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
blend,pdhg,1e-08,0,optimal,-30.81214976417843,-30.812149846,2.6554970084573523e-09,76400,0.452729,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
israel,pdhg,1e-08,1,optimal,-896644.8218631451,-896644.82186,3.5076055287447315e-12,368720,3.637084,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
israel,pdhg,1e-08,0,iteration_limit,-896644.8218632387,-896644.82186,3.6119923678441825e-12,1000000,10.027187,0,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc105,pdhg,1e-08,1,optimal,-52.20206122190958,-52.202061212,1.8983128317546706e-10,61440,0.308533,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc105,pdhg,1e-08,0,optimal,-52.202061211188884,-52.202061212,1.5537948804081504e-11,291200,1.322856,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50a,pdhg,1e-08,1,optimal,-64.5750770518034,-64.575077059,1.1144531788980677e-10,7680,0.054349,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50a,pdhg,1e-08,0,optimal,-64.57507705557386,-64.575077059,5.3056655166231615e-11,28280,0.118273,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50b,pdhg,1e-08,1,optimal,-69.99999999086126,-70.0,1.3055349817087907e-10,8360,0.050685,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
sc50b,pdhg,1e-08,0,optimal,-69.9999999729918,-70.0,3.8583140492067157e-10,33200,0.133206,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.73227347748934,-415.73224074,7.874657321801597e-08,1000000,4.882623,0,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
share2b,pdhg,1e-08,0,iteration_limit,-415.71849039642706,-415.73224074,3.3074999303580235e-05,1000000,6.172238,0,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
stocfor1,pdhg,1e-08,1,optimal,-41131.97618625287,-41131.976219,7.961476933295168e-10,321000,1.756584,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
stocfor1,pdhg,1e-08,0,optimal,-41131.97617670559,-41131.976219,1.0282609936935699e-09,496320,2.554744,1,53cbe16,Windows-AMD64,2026-09-09T03:11:14+00:00
