instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.026485,0.0023307,106,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.20206121170713,-52.202061212,2.928643993982405e-10,5.610207577989622e-12,1,1,,1,0.0,0,0.027964,0.0049416,251,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856445,-64.575077059,4.355484861662262e-10,6.744838814025429e-12,1,1,,1,0.0,0,0.033879,0.0015216,44,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-70.0,-70.0,0.0,0.0,1,1,,1,0.0,0,0.024947,0.0007084,47,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.06076853,-14753433.061,0.00023147091269493103,1.568929155254131e-11,1,1,,1,0.0,0,0.05581,0.0251462,540,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.824330984,-2331389.2548,0.5695309839211404,2.442882426212426e-07,1,1,,1,0.0,0,0.019933,0.001595,142,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,optimal,,18416.759028348937,18416.759028,3.4893673728220165e-07,1.89466961451629e-11,1,1,,1,0.0,0,0.039479,0.012564,467,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248227381075,1878.1248227,3.810737325693481e-08,2.0290117459898906e-11,1,1,,1,0.0,0,0.031298,0.0060881,301,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538007918,904.29998619,0.003032389208215136,3.3533000713526593e-06,0,1,,0,0.0,0,0.061579,0.0379049,678,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666674333364,8.6666666743,3.3363534157615504e-11,3.8496385532573e-12,1,1,,1,0.0,0,0.035479,0.0070917,396,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000007826237,50.500000078,2.62367905179417e-10,5.195404054934168e-12,1,1,,1,0.0,0,0.041819,0.0112912,393,simplex-primal,dba3a65,Windows-AMD64,2026-09-05T18:07:15+00:00,
