instance,algorithm,tolerance,restarts_enabled,status,objective,published_objective,relative_error,iterations,seconds,reached_tolerance,git_commit,machine,timestamp_utc
sc50a,pdhg,0.0001,1,feasible,-64.57507702876745,-64.575077059,4.681766275822005e-10,8840,0.061855,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50a,pdhg,1e-08,1,feasible,-64.57507702876745,-64.575077059,4.681766275822005e-10,8840,0.066914,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50b,simplex,,,optimal,-69.99999999999999,-70.0,2.0301221021717148e-16,45,0.020894,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50b,pdhg,0.0001,1,optimal,-69.99999998123167,-70.0,2.6811903808265925e-10,10160,0.067152,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50b,pdhg,1e-08,1,optimal,-69.99999998123167,-70.0,2.6811903808265925e-10,10160,0.065855,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
share2b,simplex,,,optimal,-415.73224074141916,-415.73224074,3.413622173620339e-12,111,0.021738,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
share2b,pdhg,0.0001,1,iteration_limit,-415.7322477377795,-415.73224074,1.683241957708103e-08,1000000,6.766106,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.7322477377795,-415.73224074,1.683241957708103e-08,1000000,8.21216,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
stocfor1,simplex,,,optimal,-41131.97621943643,-41131.976219,1.0610571280306333e-11,64,0.020738,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
stocfor1,pdhg,0.0001,1,feasible,-41131.97620706923,-41131.976219,2.900606084728151e-10,132600,0.636081,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
stocfor1,pdhg,1e-08,1,feasible,-41131.976178185105,-41131.976219,9.922910456107576e-10,195920,0.883612,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
adlittle,pdhg,1e-08,1,feasible,225494.96313805197,225494.96316,9.733273972480215e-11,157440,0.7085,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
adlittle,pdhg,1e-08,0,feasible,225494.96319570433,225494.96316,1.5833753787446147e-10,115840,0.5333,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
afiro,pdhg,1e-08,1,optimal,-464.7531428514029,-464.75314286,1.8498233927889925e-11,3600,0.029112,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
afiro,pdhg,1e-08,0,feasible,-464.75314288045627,-464.75314286,4.401528308029348e-11,3400,0.029423,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
blend,pdhg,1e-08,1,feasible,-30.812149468542685,-30.812149846,1.2250275202091232e-08,50480,0.243096,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
blend,pdhg,1e-08,0,feasible,-30.812149490399058,-30.812149846,1.1540932529771372e-08,67560,0.411782,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
israel,pdhg,1e-08,1,optimal,-896644.8218631716,-896644.82186,3.537207766698307e-12,569760,5.516587,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
israel,pdhg,1e-08,0,feasible,-896644.8218631194,-896644.82186,3.4789121314300814e-12,774240,9.674676,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc105,pdhg,1e-08,1,feasible,-52.202061209731674,-52.202061212,4.345273665677393e-11,69880,0.399885,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc105,pdhg,1e-08,0,feasible,-52.202061200440646,-52.202061212,2.214347583504663e-10,270160,1.360832,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50a,pdhg,1e-08,1,feasible,-64.57507702876745,-64.575077059,4.681766275822005e-10,8840,0.047683,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50a,pdhg,1e-08,0,feasible,-64.5750770813016,-64.575077059,3.453593384791481e-10,27760,0.120257,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50b,pdhg,1e-08,1,optimal,-69.99999998123167,-70.0,2.6811903808265925e-10,10160,0.060341,1,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
sc50b,pdhg,1e-08,0,feasible,-70.00000003372918,-70.0,4.818454207062522e-10,33600,0.154113,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
share2b,pdhg,1e-08,1,iteration_limit,-415.7322477377795,-415.73224074,1.683241957708103e-08,1000000,5.601201,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
share2b,pdhg,1e-08,0,iteration_limit,-415.72032515037154,-415.73224074,2.866169245681484e-05,1000000,5.901138,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
stocfor1,pdhg,1e-08,1,feasible,-41131.976178185105,-41131.976219,9.922910456107576e-10,195920,0.932712,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
stocfor1,pdhg,1e-08,0,feasible,-41131.97609561153,-41131.976219,2.999818632106828e-09,329840,2.001825,0,367e0a2,Windows-AMD64,2026-09-08T03:31:24+00:00
