instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,stopped at the time limit after 60.00s and 92178 nodes,12420.0,11392.99999884458,7457.037512612892,4962.962487387108,0.3995944031712647,0,0,1,92178,11,3320.7709999999997,3933.018585,0.0673,60.035538,60.0012809,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,stopped at the time limit after 60.00s and 129618 nodes,40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,129618,0,0.0,0.0,0.0000,60.023628,60.0006569,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,stopped at the time limit after 60.00s and 185403 nodes,3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,185403,0,0.0,0.0,0.0000,60.020636,60.0005081,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,stopped at the time limit after 60.00s and 136634 nodes,20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,136634,0,0.0,0.0,0.0000,60.024729,60.0012004,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.021328,0.0029852,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,stopped at the time limit after 63.32s and 863 nodes,12191350.0,11807698.0,10874600.792512588,1316749.2074874118,0.10800684153005301,0,0,1,863,143,10593526.0,10851312.35938446,0.1613,63.345168,63.3247231,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,stopped at the time limit after 60.00s and 61134 nodes,120.0,119.0,115.115,4.885000000000005,0.040708333333333374,0,0,1,61134,143,100.87875,105.25467309849482,0.2289,60.033268,60.0010919,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,stopped at the time limit after 60.00s and 90011 nodes,14828.0,14393.0,11594.357142857147,3233.6428571428532,0.2180768045011366,0,0,1,90011,37,8877.000000000002,8877.0,0.0000,60.030032,60.0003819,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.020606,0.0052632,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,stopped at the time limit after 60.00s and 49516 nodes,15.5,15.0,13.999999999999998,1.5000000000000018,0.0967741935483872,0,0,1,49516,0,13.0,13.0,0.0000,60.024894,60.0005173,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,stopped at the time limit after 60.00s and 98805 nodes,-41.0,-41.00000885,-43.00000000000001,2.000000000000007,0.048780487804878224,1,0,1,98805,51,-43.00000000000001,-42.99999999999999,0.0000,60.029973,60.0009504,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,stopped at the time limit after 60.00s and 86889 nodes,-15.999999999999993,-16.00000000000012,-20.02139037433155,4.021390374331556,0.2513368983957224,1,0,1,86889,0,-20.02139037433155,-20.02139037433155,0.0000,60.037470,60.0008627,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,170,115,6875.0,7155.0,0.3784,1.905671,1.8867492,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,stopped at the time limit after 60.00s and 104122 nodes,18.000000000000018,11.0,5.51260617613683,12.487393823863187,0.6937441013257319,0,0,1,104122,0,0.0,0.0,0.0000,60.029355,60.0009495,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,stopped at the time limit after 60.00s and 65439 nodes,3898.0,3663.999999980964,3472.515721997302,425.4842780026979,0.10915450949273933,0,0,1,65439,7,3157.377442025726,3162.607013763794,0.0071,60.029271,60.0002157,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,stopped at the time limit after 60.00s and 85545 nodes,3319.0,3252.0,3132.982051282051,186.0179487179489,0.05604638406687222,0,0,1,85545,8,2691.439468864469,2756.57665789072,0.1038,60.027170,60.0009765,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,stopped at the time limit after 60.00s and 96312 nodes,14.999999999999998,14.99999999990919,13.282051282051281,1.7179487179487172,0.1145299145299145,1,0,1,96312,0,13.244444444444444,13.244444444444444,0.0000,60.046065,60.0010197,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,117,0,272.00000000000017,272.00000000000017,0.0000,0.507947,0.4892964,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,127,0,272.0,272.0,0.0000,0.576411,0.5591487,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,stopped at the time limit after 60.00s and 40765 nodes,1216334.9999998298,764771.99999978,284532.84210516314,931802.1578946667,0.76607362107873,0,0,1,40765,553,28693.99999999998,229394.8632368727,0.1690,60.030716,60.0006289,5e78399,Windows-AMD64,2026-09-18T06:34:29+00:00,enable_root_cuts=true tree_cut_depth=4
