instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
e226,ddf56486daea52c8592b520aeb83d329223a1b45a3e5a269bd663ef9195bd8d8,223,282,2578,optimal,,-11.638929064264026,-18.751929066,7.113000001735973,0.3793209742155481,0,1,,0,7.113,1,0.257454,0.0203408,19,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
etamacro,41701e1add7af2ed2b21a421ab7271bc867e6bc7ad98ac189748d6522e7d4926,400,688,2409,feasible,"engine reported optimal but the reduced costs violate dual feasibility by 1.896e-07 (1.896e-07 relative to the terms they are computed from), above the 1.0e-07 tolerance; reporting a feasible point rather than a proof",-755.7152302963376,-755.71521774,1.2556337651403737e-05,1.6615171107648228e-08,0,1,,0,0.0,0,0.428734,0.0321693,25,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
fffff800,9d6695686c15d5f1b4f43b2ce8830c1d38df3a204717d8875f144aa21b33901e,524,854,6227,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.0e-08 / 1.3e-08); the model may be infeasible or unbounded, which this method does not certify",0.0,555679.61165,555679.61165,1.0,0,,,0,0.0,0,0.311682,0.0224655,5,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
finnis,891821f24a8cd14af78b95bb460a56f0e0b5410a59ad01ab58d9daf3387e7546,497,614,2310,optimal,,172791.06559563387,172790.96547,0.10012563387863338,5.794610476669697e-07,1,1,,1,0.0,0,0.303695,0.0282086,40,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
fit1d,59cee4fedd040a05c05d8410474ee014f42ef910e083689202be708491fe8717,24,1026,13404,optimal,,-9146.378092408482,-9146.3780924,8.481947588734329e-09,9.273558891887745e-13,1,1,,1,0.0,0,0.376827,0.0266885,17,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
fit1p,416e77d83daf74dee5ec1d253b77f8e252ff3e27cd123459218b02ef2be0df17,627,1677,9868,optimal,,9146.378092866931,9146.3780924,4.6693094191141427e-07,5.1050911868535284e-11,1,1,,1,0.0,0,1.723561,1.4192067,17,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
fit2d,1c16c328c0358ab175596bdd6b9a2c5d1cb4bb53b099d5d1f2a208a889c7bafc,25,10500,129018,optimal,,-68464.293291925,-68464.293294,2.0750012481585145e-06,3.0307787436701124e-11,1,1,,1,0.0,0,0.816813,0.4383515,31,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,time_limit,"time limit 120s reached inside the factorization, which was abandoned",93650.94635724193,68464.293232,25186.653125241937,0.3678801304483455,0,,,0,0.0,0,120.405475,120.0363719,9,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
forplan,65ec816c0b3c58ec4d61574df130a3ce464abb42f3d49de21710a787bf3cfdc7,161,421,4563,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.0e+00 / 4.1e+00, gap 7.9e+08",-449.08171920597886,-664.21873953,215.13702032402114,0.323894836927142,0,,,0,0.0,0,0.603053,0.2632378,300,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
ganges,f655f33ba979a59d659a8605acaf480c2fe5c610f3a50921bbcac7be40546067,1309,1681,6912,numerical_error,"the interior-point iteration stalled after 5 iterations (steps 2.6e-07 / 1.6e-07); the model may be infeasible or unbounded, which this method does not certify",0.0,-109586.36356,109586.36356,1.0,0,,,0,0.0,0,0.289422,0.0245607,5,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
gfrd-pnc,d66ea78a803e91e4f38dcd74ca4c575aa742e27e7120c1c3494d4d424ee5c936,616,1092,2377,optimal,,6902235.999563007,6902235.9995,6.300676614046097e-05,9.12845723400724e-12,1,1,,1,0.0,0,0.25546,0.0084397,28,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
greenbea,cb701e3ba5153e385b8cb6426e34b5d23bad4b1b9c9a037802e351c24b0f653d,2392,5405,30877,numerical_error,"the interior-point iteration stalled after 48 iterations (steps 2.3e-10 / 4.7e-10); the model may be infeasible or unbounded, which this method does not certify",-314543.5096354166,-72462405.908,72147862.39836459,0.9956592179669721,0,,,0,0.0,0,1.042917,0.5718272,48,ipm,fa7eb86-dirty,Windows-AMD64,2026-09-17T17:08:59+00:00,algorithm=ipm
