instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.043172,0.0025739,41,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,,1,0.0,0,0.029687,0.0021847,88,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.034892,0.0059067,209,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.0,0,0.034792,0.001452,42,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,,1,0.0,0,0.030798,0.0021229,42,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.060768533,-14753433.061,0.00023146718740463257,1.5689039049257294e-11,1,1,,1,0.0,0,0.052916,0.0201188,465,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.824330984,-2331389.2548,0.5695309839211404,2.442882426212426e-07,1,1,,1,0.0,0,0.034253,0.0026019,111,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,optimal,,18416.759028348937,18416.759028,3.4893673728220165e-07,1.89466961451629e-11,1,1,,1,0.0,0,0.04766,0.0195437,460,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248227381068,1878.1248227,3.810669113590848e-08,2.0289754267304842e-11,1,1,,1,0.0,0,0.03803,0.0078531,242,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538007919,904.29998619,0.003032389208101449,3.3533000712269414e-06,0,1,,0,0.0,0,0.087758,0.0481005,610,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666674333364,8.6666666743,3.3363534157615504e-11,3.8496385532573e-12,1,1,,1,0.0,0,0.042396,0.0124819,155,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000007714434,50.500000078,8.556568786843854e-10,1.6943700541837166e-11,1,1,,1,0.0,0,0.072416,0.0348182,367,simplex-dual,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
scsd8,2090a22840fe2c75730cd76336702ece7c27a739d58740926b67c4b2e57b8e5c,397,2750,8584,optimal,,904.9999999254641,904.99999993,4.535877451417036e-09,5.012019283721412e-12,1,1,,1,0.0,0,0.308492,0.2554549,1785,simplex-dual+primal,adcee1b,Windows-AMD64,2026-09-06T17:34:47+00:00,
